"iso3_country_code","Date","Kenya, RETAIL, Bungoma, Beans (Rosecoco), KES/Kg","Kenya, RETAIL, Bungoma, Maize (white), KES/Kg","Kenya, RETAIL, Eldoret, Beans (Rosecoco), KES/Kg","Kenya, RETAIL, Eldoret, Maize (white), KES/Kg","Kenya, RETAIL, Kapsabet, Beans (Rosecoco), KES/Kg","Kenya, RETAIL, Kapsabet, Maize (white), KES/Kg","Kenya, RETAIL, Kitale, Beans (Rosecoco), KES/Kg","Kenya, RETAIL, Kitale, Maize (white), KES/Kg","Kenya, RETAIL, Nairobi Kangemi, Beans (Rosecoco), KES/Kg","Kenya, RETAIL, Nairobi Kangemi, Maize (white), KES/Kg","Kenya, RETAIL, National Average, Maize (grain), KES/Kg","Kenya, WHOLESALE, Bungoma, Beans (Rosecoco), KES/Kg","Kenya, WHOLESALE, Bungoma, Maize (white), KES/Kg","Kenya, WHOLESALE, Eldoret, Beans (Rosecoco), KES/Kg","Kenya, WHOLESALE, Eldoret, Maize (white), KES/Kg","Kenya, WHOLESALE, Kapsabet, Beans (Rosecoco), KES/Kg","Kenya, WHOLESALE, Kapsabet, Maize (white), KES/Kg","Kenya, WHOLESALE, Kitale, Beans (Rosecoco), KES/Kg","Kenya, WHOLESALE, Kitale, Maize (white), KES/Kg","Kenya, WHOLESALE, Nairobi Kangemi, Beans (Rosecoco), KES/Kg","Kenya, WHOLESALE, Nairobi Kangemi, Maize (white), KES/Kg"
"","09/01/2025","","","","","","","127","63.44","","","68.14","","","","","","","97","50","",""
"","08/01/2025","","","","","","","127.53","64.38","","57.5","70.93","","","","","","","100","51.25","","49.44"
"","07/01/2025","","","","","","","130","65.33","140","39.13","71.24","","","","","","","102.5","54","126.67","52.78"
"","06/01/2025","","","190","70","","","149.09","60.55","216.67","","70.4","","","175","60","","","122.92","50.87","",""
"","05/01/2025","200","75","160","59","","","144.44","59.01","180","55.75","68.49","175","65","150","50","","","121.43","48.97","128.33","47.78"
"","04/01/2025","183.33","71.67","","55","","","150","","","55","66.6","158.33","61.67","","47.5","","","125","","",""
"","03/01/2025","175","63.33","160","57.5","","","","","","51.67","64.72","150","53.33","150","47.5","","","","","","49.63"
"","02/01/2025","175","60","160","52.86","133.33","40.74","","","140","53.33","62.68","150","55","140","43.21","113.33","37.04","","","124.44","47.22"
"","01/01/2025","177.5","60","","","160","42","","","130","51.6","62.22","150","50","","","135","37.22","","","117.78","44.44"
"","12/01/2024","175","60","","","","40","","","140","46.5","61.6","150","50","","","","36","","","121.67","43.88"
"","11/01/2024","175","51.67","","","159","33.33","","","","45","60.71","150","45","","","156.19","32.11","","","","36.67"
"","10/01/2024","179.55","45.42","","","150","38","","","","","59.84","140.91","33.54","","","135","34.45","","","",""
"","09/01/2024","200","43.75","175","48.12","135","38.67","","","","","59.64","175","32.5","150","40.62","130","32.89","","","",""
